Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ein,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,org_name,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female,category
43939,43939,1823827,952491790,186857.0,170884.0,-9.34727651506285,50.0,50.0,39118.17929292929,186857.0,15848540.0,WWW.COMMUNIFYSB.ORG,398,23389860.0,COMMUNITY ACTION COMMISSION OF SANTABARBARA COUNTY INC,100.0,35.294117647058826,75.0,,,other
43940,43940,1823835,952493292,163941.0,180005.0,8.92419655009583,50.0,50.0,50439.833333333336,180005.0,7304643.0,,140,13929364.0,MARAVILLA FOUNDATION,,25.0,0.0,,,other
43941,43941,1823864,952500201,111745.5,232615.4285714285,51.961268998248485,77.77777777777779,22.22222222222222,62794.621212121216,354803.0,14285134.0,WWW.WGAT.COM,207,204506147.0,WESTERN GROWERS ASSURANCE TRUST FUND,40.0,20.0,0.0,0.0,,other
43947,43947,1823909,952506788,203485.66666666663,315542.0,35.51233538905545,40.0,60.0,85386.73604060913,335904.0,18062728.0,INDIANHEALTH.COM,202,45235597.0,INDIAN HEALTH COUNCIL INC,,73.33333333333333,80.0,,,other
43949,43949,1823936,952511202,182082.0,229373.0,20.617509471472232,66.66666666666666,33.33333333333333,44164.53164556962,259203.0,4129826.0,WWW.DESCANSOGARDENS.ORG,82,16704728.0,DESCANSO GARDENS FOUNDATION,,66.66666666666666,42.85714285714285,,,other
43951,43951,1823954,952513485,362775.75,274918.5,-31.957561968365173,66.66666666666666,33.33333333333333,84935.22222222222,546196.0,28111795.0,WWW.FIRSTENT.ORG,300,73701401.0,FIRST ENTERTAINMENT CREDIT UNIONFKA CREDIT UNIONS IN THE STATE OF CA,20.0,18.181818181818183,33.33333333333333,50.0,,other
43954,43954,1823989,952538049,315568.5,228545.625,-38.07680632696426,80.0,20.0,53682.18965517241,325206.0,11800203.0,www.toiyabe.us,184,23873578.0,Toiyabe Indian Health Project,0.0,66.66666666666666,12.5,100.0,,hospital
43955,43955,1823994,952539105,288110.6666666667,282102.6666666667,-2.129721094447884,50.0,50.0,54510.005167958654,341935.0,22806012.0,WWW.SABANCOMMUNITYCLINIC.ORG,393,39217442.0,THE LOS ANGELES FREE CLINIC,20.0,42.85714285714285,60.0,,,hospital
43957,43957,1824033,952544340,282246.5,661556.4444444445,57.33599115083487,81.81818181818183,18.181818181818183,90787.58273381296,3271414.0,19137975.0,WWW.SEMA.ORG,150,51662563.0,SPECIALTY EQUIPMENT MARKET ASSOCIATION,40.0,44.44444444444444,0.0,50.0,,other
43958,43958,1824036,952544535,312701.9166666667,412309.0714285714,24.15837090772346,53.84615384615385,46.15384615384615,44207.70615927815,950520.0,234895636.0,WWW.SANDIEGO.EDU,5124,586050045.0,UNIVERSITY OF SAN DIEGO,20.0,36.66666666666666,28.57142857142857,55.55555555555556,0.0,college
43967,43967,1824089,952556393,0.0,215598.0,100.0,100.0,0.0,6387.056074766355,215598.0,899013.0,WWW.BCYC.ORG,108,3383542.0,BAHIA CORINTHIAN YACHT CLUB,,20.0,66.66666666666666,,,other
43968,43968,1824136,952564024,222879.8571428572,150567.0,-48.027029257976274,12.5,87.5,68247.0,417201.0,6829251.0,WWW.ESSENTIALACCESS.ORG,83,26020537.0,ESSENTIAL ACCESS HEALTH,60.0,87.5,87.5,,,hospital
43969,43969,1824142,952565264,152609.0,0.0,-1.0,0.0,100.0,45064.56420233463,152609.0,11734202.0,WWW.AKAHEADSTART.ORG,258,15476781.0,ALL KIDS ACADEMY HEAD START INC,,84.61538461538461,83.33333333333334,,,college
43970,43970,1824156,952567271,0.0,246659.0,100.0,100.0,0.0,7799.794871794872,246659.0,855043.0,www.lbma.org,79,1952498.0,LONG BEACH MUSEUM OF ART FOUNDATION,,69.23076923076923,50.0,,,other
43971,43971,1824170,952569213,194928.5,229921.14285714287,15.219410630228506,77.77777777777779,22.22222222222222,115023.59183673467,318072.0,7635461.0,WWW.CALNEVJATC.ORG,58,16080159.0,CALIFORNIA-NEVADA ELECTRICAL JOINTAPPRENTICESHIP AND TRAINING TRUST FUND,,14.285714285714285,0.0,,,other
43972,43972,1824190,952572642,203768.0,150179.0,-35.68341778810619,50.0,50.0,51762.54,203768.0,2942074.0,www.housingrightscenter.org,52,108535022.0,Southern California HousingRights Center,,44.44444444444444,0.0,,,other
43976,43976,1824250,952585505,119041.0,152660.0,22.02214070483427,50.0,50.0,12061.620689655172,152660.0,1321062.0,www.pacificchorale.org,89,4737500.0,Pacific Chorale,,12.5,40.0,100.0,,other
43979,43979,1824283,952594166,186203.66666666663,239318.0,22.194040286703608,40.0,60.0,55708.720876585925,245281.0,49336708.0,www.maof.org,872,116746962.0,Mexican American Opportunity Foundation,,26.666666666666668,25.0,,,other
43981,43981,1824302,952598337,397734.0,0.0,-1.0,0.0,100.0,28059.96107784432,154870.0,9526897.0,WWW.MOMENTUM4WORK.ORG,336,12552681.0,MOMENTUM WORK INC,,0.0,71.42857142857143,,,other
43982,43982,1824307,952599277,172215.0,165018.33333333334,-4.361131591439329,75.0,25.0,61448.54166666666,177639.0,3616800.0,AFSCME36.ORG,52,6177185.0,American Federation of State County &Municipal Employees District Council 36,0.0,38.88888888888889,66.66666666666666,,,other
43983,43983,1824328,952623230,190248.5,222086.75,14.33595205477139,66.66666666666666,33.33333333333333,78067.24940617578,374547.0,34135156.0,WWW.TRI-COUNTIES.ORG,427,388398861.0,TRI-COUNTIES ASSOCIATION FOR THEDEVELOPMENTALLY DISABLED INC,20.0,38.46153846153847,20.0,,,other
43985,43985,1824380,952630398,0.0,182607.0,100.0,100.0,0.0,36165.15476190476,182607.0,3220480.0,NAPD-BAK.ORG,85,6357252.0,NEW ADVANCES FOR PEOPLE WITHDISABILITIES,,66.66666666666666,50.0,,,other
43986,43986,1824387,952633765,234789.0,244055.0,3.7966851734240232,33.33333333333333,66.66666666666666,55478.52978056426,338141.0,36822568.0,www.pennylane.org,644,57327728.0,Penny Lane Centers,100.0,75.0,50.0,,,other
43987,43987,1824391,952635019,189117.5,194968.0,3.00074884083542,50.0,50.0,133763.8028169014,231383.0,11801743.0,WWW.UTLA.NET,83,53009809.0,UNITED TEACHERS LOS ANGELES,50.0,67.5,50.0,,,other
43991,43991,1824414,952642747,176160.0,0.0,-1.0,0.0,100.0,45188.91780821918,176160.0,3474951.0,www.we-reachout.org,74,7251573.0,Reach Out,,83.33333333333334,40.0,,,other
43993,43993,1824439,952648050,160098.0,192464.0,16.816651425721176,50.0,50.0,29600.545679012343,192464.0,12340783.0,WWW.SDYOUTHSERVICES.ORG,407,21350463.0,SAN DIEGO YOUTH SERVICES,,63.63636363636363,50.0,,,other
43994,43994,1824473,952654647,272814.5,0.0,-1.0,0.0,100.0,56539.07894736842,346206.0,4842599.0,WWW.ECHOHORIZON.ORG,78,7213009.0,ECHO FOUNDATION,33.33333333333333,33.33333333333333,54.54545454545454,,,other
43996,43996,1824504,952662606,294011.125,243812.66666666663,-20.58894602139895,27.27272727272727,72.72727272727273,73990.73033707865,514900.0,36009402.0,HTTP://WWW.ELPROYECTO.US,456,77862746.0,EL PROYECTO DEL BARRIO INC,80.0,90.0,50.0,75.0,,other
43998,43998,1824507,952663177,251720.0,0.0,-1.0,0.0,100.0,45423.5,251720.0,2977130.0,WWW.WALDENSCHOOL.NET,61,6578861.0,THE WALDEN SCHOOL OF CALIFORNIA,100.0,53.84615384615385,57.14285714285714,,,college
43999,43999,1824522,952666942,448427.3333333333,325398.0,-37.808878153317885,40.0,60.0,54724.37336814621,583812.0,22955513.0,WWW.CHILDNET.NET,388,33626452.0,CHILDNET YOUTH & FAMILY SERVICES,80.0,0.0,42.85714285714285,,,other
44000,44000,1824532,952668328,0.0,320479.0,100.0,100.0,0.0,22619.530303030304,320479.0,6292035.0,https://sdcc.edu/,265,20357580.0,San Diego Christian College,0.0,20.0,25.0,,,college
44001,44001,1824533,952668485,298228.3333333333,152825.0,-95.14368286166092,25.0,75.0,61559.46728971963,459513.0,7634373.0,WWW.TURNINGPOINTSCHOOL.ORG,111,15351690.0,MWLA INC DBA TURNING POINT,60.0,50.0,83.33333333333334,100.0,,other
44003,44003,1824551,952672750,0.0,199919.0,100.0,100.0,0.0,132914.8409090909,240145.0,12696101.0,,93,22686554.0,Laborers Training & Retraining Trustfor Southern California,0.0,20.0,,,,other
44004,44004,1824559,952673361,186007.3333333333,240988.0,22.81469063466507,40.0,60.0,75990.18279569893,249951.0,8107085.0,WWW.ACLU-SC.ORG,98,18834457.0,ACLU FOUNDATION OF SOUTHERN CALIFORNIA,60.0,44.44444444444444,70.0,,,other
44005,44005,1824573,952677094,176325.0,0.0,-1.0,0.0,100.0,22148.53846153846,176325.0,1903911.0,WWW.GLADINC.ORG,79,3743762.0,GREATER LOS ANGELES AGENCY ON DEAFNESS INC,,75.0,0.0,100.0,,other
44006,44006,1824574,952677112,163875.0,0.0,-1.0,0.0,100.0,41255.49438202247,163875.0,3835614.0,,90,9119770.0,PALM DESERT GREENS ASSOCIATION,0.0,33.33333333333333,33.33333333333333,,,other
44007,44007,1824579,952678506,176225.0,176200.0,-0.014188422247446,20.0,80.0,142313.9024390244,176300.0,24220580.0,www.fdsdi.com,169,32559849.0,Federal Defenders of San Diego Inc,,44.44444444444444,,,,other
44008,44008,1824587,952680390,220958.3333333333,257749.6,14.274034437557484,62.5,37.5,93978.08260869564,382516.0,23566582.0,www.fh.org,238,172764553.0,Food For The Hungry Inc,80.0,66.66666666666666,0.0,0.0,,other
44009,44009,1824601,952683852,0.0,156750.0,100.0,100.0,0.0,44184.47260273973,156750.0,6607683.0,WWW.TEENCHALLENGE.ORG,147,14352850.0,TEEN CHALLENGE OF SOUTH CALIF INC,,13.79310344827586,0.0,,,other
