Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ein,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,org_name,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female,category
37024,37024,1415464,750871755,0.0,150067.0,100.0,100.0,0.0,12035.386666666667,150067.0,1052721.0,WWW.SANANGELORODEO.COM,76,4756702.0,SAN ANGELO STOCK SHOW & RODEO ASSOCIATIOASSOCIATION,,23.809523809523807,16.666666666666664,,,other
37028,37028,1415521,750891443,244506.5,273647.9,10.649232097158436,83.33333333333334,16.666666666666664,100840.53932584268,643024.0,12200300.0,WWW.BUCKNER.ORG,101,29447946.0,BUCKNER INTERNATIONAL,0.0,56.25,28.57142857142857,,0.0,other
37029,37029,1415531,750891470,201900.5,356513.0,43.367983776187685,33.33333333333333,66.66666666666666,43019.68771929824,356513.0,13020925.0,WWW.RETIREMENT.ORG,288,47753478.0,THE CUMBERLAND REST INC,80.0,20.0,25.0,0.0,,other
37032,37032,1415557,750904045,167143.0,196580.5,14.974781323681649,66.66666666666666,33.33333333333333,,0.0,1712633.0,WWW.ARMSOFHOPE.ORG,57,1742939.0,BOLES CHILDREN'S HOME INC,0.0,30.0,50.0,,,other
37034,37034,1415612,750926100,224645.0,169005.0,-32.92210289636402,50.0,50.0,48415.4081632653,235175.0,3159655.0,WWW.RELYONCU.ORG,53,9173062.0,RELYON CREDIT UNION,25.0,37.5,100.0,,,other
37035,37035,1415632,750931981,0.0,196873.44444444444,100.0,100.0,0.0,28507.0,213760.0,3368253.0,,65,6861541.0,GENERAL WAREHOUSEMENDRIVERS &HELPERS TEAMSTER LOCAL UNION 767,0.0,,12.5,,,other
37036,37036,1415665,750942885,0.0,162200.0,100.0,100.0,0.0,26028.14285714286,162200.0,6721292.0,www.artsacademics.org,253,10668475.0,TEXAS CENTER FOR ARTS ACADEMICS,,66.66666666666666,50.0,,,college
37038,37038,1415702,750950119,157107.0,218369.0,28.05434837362446,75.0,25.0,20556.039832285114,324279.0,20422676.0,WWW.LCU.EDU,958,52856986.0,LUBBOCK CHRISTIAN UNIVERSITY,40.0,26.923076923076923,33.33333333333333,0.0,,college
37040,37040,1415709,750953266,0.0,309432.5,100.0,100.0,0.0,23442.94252873563,319625.0,2658401.0,,89,6925989.0,United Food and Commercial Workers 540 Local,0.0,,29.411764705882355,0.0,,other
37041,37041,1415723,750958408,0.0,173479.0,100.0,100.0,0.0,36778.31034482759,173479.0,2306621.0,www.dallasservices.org,59,3379864.0,DALLAS SERVICES,,42.85714285714285,50.0,,,other
